"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий
Санкт-Петербург,Центральный район ,Санкт-Петербург,"9-я Советская ул. .д. 11-13,  15,  19,  23,  8-я Советская ул.,  д. 24,  28,  32,  ул. Моисеенко,  д. 2,  3,  4,  Дегтярная ул.,  д. 32",25-09-2023,13:00,25-09-2023,17:00,Кабельная сеть,Центральный РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Будапештская ул.,  д. 3,  лит. А. ",25-09-2023,11:00,25-09-2023,17:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Долгоозерная д. 12 к. 2.,25-09-2023,11:00,25-09-2023,15:00,Кабельная сеть,Западный РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Яхтенная д. 32 к. 2,  ул. Яхтенная д. 32 к. 3,  ул. Яхтенная д. 32 к. 4",25-09-2023,10:00,25-09-2023,17:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,25-09-2023,10:00,25-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,25-09-2023,10:00,25-09-2023,20:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петровский пр.,  д. 1,  д. 3,  д. 5 стр. 1,  д. 16",25-09-2023,10:00,25-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Пискаревский пр.,  д.35,  37; М.Блюхера пр.,  д.38/2",25-09-2023,10:00,25-09-2023,21:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Бокситогорский район,"д. Васьково,  д.Максимово,  д. Платаново, д. Озеро-Село,  д. Марьино-Село",,25-09-2023,10:00,25-09-2023,13:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район ,"д. Покровская,  д. Антелево",,25-09-2023,10:00,25-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Джамбула пер.,  д. 9, 8-10, 11, 13, 15, 17, 19,  наб. реки Фонтанки,  д. 76, 80/2",25-09-2023,10:00,25-09-2023,18:00,Кабельная сеть,Центральный РЭС,
Ленинградская область,Всеволожский район,"Свердлово, д.Овцино",,25-09-2023,10:00,25-09-2023,17:23,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,25-09-2023,10:00,25-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Курортный район,п.Комарово,"Щучье Озеро,  д.3 (участок 1), берег Щучьего озера,  д.5 , Берег Щучьего Озера тер,  д.3 ",25-09-2023,09:00,25-09-2023,20:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ
Санкт-Петербург,Курортный район,п.Комарово,"Берег Щучьего Озера тер,  д.2 , Щучье Озеро,  д.2 , Щучье Озеро,  д.2Б",25-09-2023,09:00,25-09-2023,20:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ
Ленинградская область,Волосовский район,"Пружицы,  Голятицы  ",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
