"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,Северные электрические сети,Сертоловский РЭС,,,,2023-09-25 10:00:00,2023-09-25 17:00:00,Всев,Серт,7
Ленинградская область,Бокситогорский район,"д. Васьково,  д.Максимово,  д. Платаново, д. Озеро-Село,  д. Марьино-Село",,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-25 10:00:00,2023-09-25 13:00:00,Бокс,Бокс,3
Ленинградская область,Гатчинский район ,"д. Покровская,  д. Антелево",,Южные электрические сети,Пушкинский РЭС,,,,2023-09-25 10:00:00,2023-09-25 17:00:00,Гатч,Пушк,7
Ленинградская область,Всеволожский район,"Свердлово, д.Овцино",,Северные электрические сети,Всеволожский РЭС,,,,2023-09-25 10:00:00,2023-09-25 17:23:00,Всев,Всев,7
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,Южные электрические сети,Красносельский РЭС,,,,2023-09-25 10:00:00,2023-09-25 20:00:00,Ломо,Крас,10
Ленинградская область,Волосовский район,"Пружицы,  Голятицы  ",,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-25 09:00:00,2023-09-25 17:00:00,Воло,Кинг,8
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.,,,2023-09-25 09:00:00,2023-09-25 18:00:00,Тосн,Тосн,9
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.,,,2023-09-25 09:00:00,2023-09-25 18:00:00,Тосн,Тосн,9
Ленинградская область,Бокситогорский район,д.Мозолево-1,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-25 09:00:00,2023-09-25 17:00:00,Бокс,Бокс,8
Ленинградская область,Волосовский район,"Ямки,  Руссковицы",,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-6 ПС-518,,,2023-09-25 09:00:00,2023-09-25 17:00:00,Воло,Ломо,8
Ленинградская область,Лужский район,"Малые Озерцы,  Большие Озерцы,  Крени,  Бор",,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-25 09:00:00,2023-09-25 17:00:00,Лужс,Лужс,8
Санкт-Петербург,Колпинский район,п. Металлострой,пром зона Металлострой,Южные электрические сети,Колпинский РЭС,,,,2023-09-24 10:00:00,2023-09-24 16:00:00,Колп,Колп,6
