"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,25-09-2023,10:00,25-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,,,
Ленинградская область,Бокситогорский район,"д. Васьково,  д.Максимово,  д. Платаново, д. Озеро-Село,  д. Марьино-Село",,25-09-2023,10:00,25-09-2023,13:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Гатчинский район ,"д. Покровская,  д. Антелево",,25-09-2023,10:00,25-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Всеволожский район,"Свердлово, д.Овцино",,25-09-2023,10:00,25-09-2023,17:23,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,25-09-2023,10:00,25-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Волосовский район,"Пружицы,  Голятицы  ",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",25-09-2023,09:00,25-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.,,
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",25-09-2023,09:00,25-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.,,
Ленинградская область,Бокситогорский район,д.Мозолево-1,,25-09-2023,09:00,25-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Волосовский район,"Ямки,  Руссковицы",,25-09-2023,09:00,25-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-6 ПС-518,,
Ленинградская область,Лужский район,"Малые Озерцы,  Большие Озерцы,  Крени,  Бор",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,,,
Санкт-Петербург,Колпинский район,п. Металлострой,пром зона Металлострой,24-09-2023,10:00,24-09-2023,16:00,Южные электрические сети,Колпинский РЭС,,,
Ленинградская область,Бокситогорский район,"ДРП,  ГРС,  Артскважина СХТ,  СХТ Гаражи,  СХТ-дет.сад. п.Сельхозтехника д.9,  ч/сектор",,23-09-2023,10:00,23-09-2023,15:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Тосненский район,п. Рябово,"Мысленская,  Восточная,  Заводская,  Набережная,  Заречная",22-09-2023,17:00,22-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,В связи с производством оперативных переключений по ф.717-07,,
Ленинградская область,Лодейнопольский район,д.Старая Слобода,Центр,22-09-2023,13:00,22-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д. 179 л.А; д.183 л.А; д.185 л.А.,22-09-2023,11:00,22-09-2023,15:00,Кабельная сеть,Южный РЭС,,,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Красногвардейская площадь, д3",22-09-2023,10:30,22-09-2023,17:00,Кабельная сеть,Правобережный РЭС,,,
Ленинградская область,Ломоносовский район,д.Лаголово,,22-09-2023,10:00,22-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-482,,
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,10:00,22-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",22-09-2023,10:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,
